Pasture,Date,Plot,Reading #,High,Low,Spp,G_B,Screen1,Reading_No,Adj_Low,Week,Biomass_lbs_ac,V_E_F,G_UG,PastureNm,Comments,Year,bm,Id
20NW,2014-05-16,P1,1.0,18.0,4.0,STCO,b,0.0,,,,,,,,,2014,993.9,20NW_P1
20NW,2014-05-16,P1,2.0,22.0,10.0,STCO,b,0.0,,,,,,,,,2014,1890.3000000000002,20NW_P1
20NW,2014-05-16,P1,3.0,12.0,5.0,STCO,g,0.0,,,,,,,,,2014,985.3,20NW_P1
20NW,2014-05-16,P1,4.0,20.0,12.0,STCO,b,0.0,,,,,,,,,2014,2110.1,20NW_P1
20NW,2014-05-16,P1,6.0,10.0,4.0,STCO,g,0.0,,,,,,,,,2014,804.3,20NW_P1
20NW,2014-05-16,P1,7.0,24.0,6.0,STCO,b,0.0,,,,,,,,,2014,1403.3,20NW_P1
20NW,2014-05-16,P1,8.0,12.0,4.0,STCO,g,0.0,,,,,,,,,2014,851.6999999999999,20NW_P1
20NW,2014-05-16,P1,9.0,6.0,5.0,BOGR,g,0.0,,,,,,,,,2014,843.1,20NW_P1
20NW,2014-05-16,P1,10.0,16.0,10.0,ARLO,b,1.0,,,,,,,,,2014,1748.1000000000001,20NW_P1
20NW,2014-05-16,P1,11.0,18.0,6.0,STCO,b,0.0,,,,,,,,,2014,1261.1,20NW_P1
20NW,2014-05-16,P1,12.0,12.0,4.0,STCO,g,0.0,,,,,,,,,2014,851.6999999999999,20NW_P1
20NW,2014-05-16,P1,13.0,16.0,8.0,STCO,g,0.0,,,,,,,,,2014,1480.9,20NW_P1
20NW,2014-05-16,P1,14.0,16.0,4.0,BOGR,g,0.0,,,,,,,,,2014,946.4999999999999,20NW_P1
20NW,2014-05-16,P1,16.0,4.0,3.0,BOGR,g,0.0,,,,,,,,,2014,528.5,20NW_P1
20NW,2014-05-16,P1,17.0,11.0,6.0,STCO,g,0.0,,,,,,,,,2014,1095.2,20NW_P1
20NW,2014-05-16,P1,18.0,10.0,6.0,STCO,g,0.0,,,,,,,,,2014,1071.5,20NW_P1
20NW,2014-05-16,P1,19.0,3.0,2.0,BOGR,g,0.0,,,,,,,,,2014,371.19999999999993,20NW_P1
20NW,2014-05-16,P1,20.0,16.0,6.0,STCO,g,0.0,,,,,,,,,2014,1213.7,20NW_P1
20NW,2014-05-16,P1,21.0,2.0,1.0,BOGR,g,0.0,,,,,,,,,2014,213.9,20NW_P1
20NW,2014-05-16,P1,22.0,20.0,10.0,STCO,b,0.0,,,,,,,,,2014,1842.9,20NW_P1
20NW,2014-05-16,P1,23.0,20.0,16.0,STCO,b,0.0,,,,,,,,,2014,2644.5,20NW_P1
20NW,2014-05-16,P1,24.0,17.0,12.0,STCO,b,0.0,,,,,,,,,2014,2039.0,20NW_P1
20NW,2014-05-16,P1,25.0,14.0,10.0,STCO,g,0.0,,,,,,,,,2014,1700.7,20NW_P1
20NW,2014-05-16,P2,1.0,18.0,8.0,STCO,g,0.0,,,,,,,,,2014,1528.3,20NW_P2
20NW,2014-05-16,P2,2.0,8.0,4.0,STCO,g,0.0,,,,,,,,,2014,756.9,20NW_P2
20NW,2014-05-16,P2,3.0,16.0,6.0,STCO,g,0.0,,,,,,,,,2014,1213.7,20NW_P2
20NW,2014-05-16,P2,4.0,14.0,10.0,STCO,b,0.0,,,,,,,,,2014,1700.7,20NW_P2
20NW,2014-05-16,P2,5.0,26.0,14.0,STCO,b,0.0,,,,,,,,,2014,2519.5,20NW_P2
20NW,2014-05-16,P2,6.0,14.0,10.0,STCO,g,0.0,,,,,,,,,2014,1700.7,20NW_P2
20NW,2014-05-16,P2,7.0,6.0,4.0,BOGR,g,0.0,,,,,,,,,2014,709.4999999999999,20NW_P2
20NW,2014-05-16,P2,8.0,8.0,4.0,BOGR,g,0.0,,,,,,,,,2014,756.9,20NW_P2
20NW,2014-05-16,P2,9.0,18.0,10.0,STCO,g,0.0,,,,,,,,,2014,1795.5,20NW_P2
20NW,2014-05-16,P2,10.0,12.0,4.0,STCO,g,0.0,,,,,,,,,2014,851.6999999999999,20NW_P2
20NW,2014-05-16,P2,12.0,8.0,4.0,BOGR,g,0.0,,,,,,,,,2014,756.9,20NW_P2
20NW,2014-05-16,P2,13.0,12.0,4.0,BOGR,g,0.0,,,,,,,,,2014,851.6999999999999,20NW_P2
20NW,2014-05-16,P2,14.0,18.0,12.0,STCO,b,0.0,,,,,,,,,2014,2062.7,20NW_P2
20NW,2014-05-16,P2,15.0,18.0,10.0,STCO,g,0.0,,,,,,,,,2014,1795.5,20NW_P2
20NW,2014-05-16,P2,16.0,10.0,6.0,STCO,b,0.0,,,,,,,,,2014,1071.5,20NW_P2
20NW,2014-05-16,P2,17.0,14.0,12.0,STCO,g,0.0,,,,,,,,,2014,1967.8999999999999,20NW_P2
20NW,2014-05-16,P2,18.0,20.0,8.0,STCO,b,0.0,,,,,,,,,2014,1575.7,20NW_P2
20NW,2014-05-16,P2,19.0,16.0,10.0,STCO,g,0.0,,,,,,,,,2014,1748.1000000000001,20NW_P2
20NW,2014-05-16,P2,20.0,10.0,8.0,STCO,g,0.0,,,,,,,,,2014,1338.7,20NW_P2
20NW,2014-05-16,P2,21.0,12.0,6.0,BOGR,b,0.0,,,,,,,,,2014,1118.9,20NW_P2
20NW,2014-05-16,P2,22.0,8.0,6.0,STCO,g,0.0,,,,,,,,,2014,1024.1,20NW_P2
20NW,2014-05-16,P2,23.0,18.0,10.0,STCO,g,0.0,,,,,,,,,2014,1795.5,20NW_P2
20NW,2014-05-16,P2,24.0,16.0,12.0,STCO,g,0.0,,,,,,,,,2014,2015.3,20NW_P2
20NW,2014-05-16,P2,25.0,18.0,8.0,STCO,b,0.0,,,,,,,,,2014,1528.3,20NW_P2
20NW,2014-05-16,P3,1.0,30.0,1.0,STCO,g,0.0,,,,,,,,,2014,877.5,20NW_P3
20NW,2014-05-16,P3,2.0,16.0,3.0,STCO,g,0.0,,,,,,,,,2014,812.9,20NW_P3
20NW,2014-05-16,P3,3.0,5.0,1.0,VUOC,g,1.0,,,,,,,,,2014,285.0,20NW_P3
20NW,2014-05-16,P3,4.0,4.0,1.0,VUOC,g,1.0,,,,,,,,,2014,261.29999999999995,20NW_P3
20NW,2014-05-16,P3,5.0,15.0,2.0,VUOC,g,1.0,,,,,,,,,2014,655.6,20NW_P3
20NW,2014-05-16,P3,6.0,3.0,2.0,BOGR,g,0.0,,,,,,,,,2014,371.19999999999993,20NW_P3
20NW,2014-05-16,P3,7.0,6.0,2.0,BOGR,b,0.0,,,,,,,,,2014,442.29999999999995,20NW_P3
20NW,2014-05-16,P3,8.0,10.0,2.0,PASM,g,0.0,,,,,,,,,2014,537.1,20NW_P3
20NW,2014-05-16,P3,9.0,4.0,1.0,BOGR,g,0.0,,,,,,,,,2014,261.29999999999995,20NW_P3
20NW,2014-05-16,P3,10.0,2.0,1.0,BOGR,g,0.0,,,,,,,,,2014,213.9,20NW_P3
20NW,2014-05-16,P3,11.0,15.0,3.0,STCO,g,0.0,,,,,,,,,2014,789.1999999999999,20NW_P3
20NW,2014-05-16,P3,12.0,16.0,3.0,BOGR,g,0.0,,,,,,,,,2014,812.9,20NW_P3
20NW,2014-05-16,P3,13.0,10.0,3.0,STCO,b,0.0,,,,,,,,,2014,670.6999999999999,20NW_P3
20NW,2014-05-16,P3,14.0,14.0,4.0,STCO,g,0.0,,,,,,,,,2014,899.1,20NW_P3
20NW,2014-05-16,P3,15.0,16.0,3.0,STCO,g,0.0,,,,,,,,,2014,812.9,20NW_P3
20NW,2014-05-16,P3,16.0,24.0,2.0,STCO,g,0.0,,,,,,,,,2014,868.9,20NW_P3
20NW,2014-05-16,P3,17.0,6.0,2.0,VUOC,g,1.0,,,,,,,,,2014,442.29999999999995,20NW_P3
20NW,2014-05-16,P3,18.0,20.0,2.0,STCO,g,0.0,,,,,,,,,2014,774.1,20NW_P3
20NW,2014-05-16,P3,19.0,38.0,3.0,BOGR,g,0.0,,,,,,,,,2014,1334.3000000000002,20NW_P3
20NW,2014-05-16,P3,20.0,20.0,3.0,STCO,b,0.0,,,,,,,,,2014,907.6999999999999,20NW_P3
20NW,2014-05-16,P3,21.0,16.0,3.0,STCO,g,0.0,,,,,,,,,2014,812.9,20NW_P3
20NW,2014-05-16,P3,22.0,36.0,2.0,BOGR,g,0.0,,,,,,,,,2014,1153.3,20NW_P3
20NW,2014-05-16,P3,23.0,24.0,3.0,STCO,g,0.0,,,,,,,,,2014,1002.4999999999999,20NW_P3
20NW,2014-05-16,P3,24.0,14.0,4.0,VUOC,g,1.0,,,,,,,,,2014,899.1,20NW_P3
20NW,2014-05-16,P3,25.0,10.0,2.0,STCO,g,0.0,,,,,,,,,2014,537.1,20NW_P3
20NW,2014-05-16,P4,1.0,14.0,5.0,STCO,g,0.0,,,,,,,,,2014,1032.7,20NW_P4
20NW,2014-05-16,P4,2.0,14.0,5.0,STCO,g,0.0,,,,,,,,,2014,1032.7,20NW_P4
20NW,2014-05-16,P4,3.0,26.0,4.0,BOGR,g,0.0,,,,,,,,,2014,1183.5,20NW_P4
20NW,2014-05-16,P4,4.0,0.0,0.0,BARE,-,0.0,,,,,,,,,2014,32.9,20NW_P4
20NW,2014-05-16,P4,5.0,15.0,7.0,STCO,b,0.0,,,,,,,,,2014,1323.6,20NW_P4
20NW,2014-05-16,P4,6.0,14.0,3.0,STCO,g,0.0,,,,,,,,,2014,765.4999999999999,20NW_P4
20NW,2014-05-16,P4,7.0,19.0,6.0,STCO,g,0.0,,,,,,,,,2014,1284.8,20NW_P4
20NW,2014-05-16,P4,8.0,23.0,1.0,STCO,g,0.0,,,,,,,,,2014,711.6,20NW_P4
20NW,2014-05-16,P4,9.0,29.0,8.0,STCO,g,0.0,,,,,,,,,2014,1789.0,20NW_P4
20NW,2014-05-16,P4,10.0,15.0,3.0,STCO,g,0.0,,,,,,,,,2014,789.1999999999999,20NW_P4
20NW,2014-05-16,P4,11.0,23.0,2.0,STCO,g,0.0,,,,,,,,,2014,845.1999999999999,20NW_P4
20NW,2014-05-16,P4,12.0,14.0,2.0,STCO,g,0.0,,,,,,,,,2014,631.9,20NW_P4
20NW,2014-05-16,P4,13.0,11.0,2.0,BOGR,g,0.0,,,,,,,,,2014,560.8,20NW_P4
20NW,2014-05-16,P4,14.0,20.0,2.0,STCO,b,0.0,,,,,,,,,2014,774.1,20NW_P4
20NW,2014-05-16,P4,15.0,16.0,5.0,VUOC,g,1.0,,,,,,,,,2014,1080.1000000000001,20NW_P4
20NW,2014-05-16,P4,16.0,8.0,3.0,STCO,g,0.0,,,,,,,,,2014,623.3,20NW_P4
20NW,2014-05-16,P4,17.0,20.0,8.0,STCO,b,0.0,,,,,,,,,2014,1575.7,20NW_P4
20NW,2014-05-16,P4,18.0,10.0,3.0,STCO,g,0.0,,,,,,,,,2014,670.6999999999999,20NW_P4
20NW,2014-05-16,P4,19.0,19.0,5.0,BOGR,g,0.0,,,,,,,,,2014,1151.2,20NW_P4
20NW,2014-05-16,P4,20.0,21.0,7.0,STCO,g,0.0,,,,,,,,,2014,1465.8,20NW_P4
20NW,2014-05-16,P4,21.0,20.0,6.0,STCO,g,0.0,,,,,,,,,2014,1308.5,20NW_P4
20NW,2014-05-16,P4,22.0,13.0,4.0,ARLO,b,1.0,,,,,,,,,2014,875.4,20NW_P4
20NW,2014-05-16,P4,23.0,20.0,3.0,VUOC,g,1.0,,,,,,,,,2014,907.6999999999999,20NW_P4
20NW,2014-05-16,P4,24.0,10.0,3.0,VUOC,g,1.0,,,,,,,,,2014,670.6999999999999,20NW_P4
20NW,2014-05-16,P4,25.0,22.0,3.0,ARLO,b,1.0,,,,,,,,,2014,955.0999999999999,20NW_P4
20NW,2014-05-27,P1,1.0,6.0,1.0,BOGR,g,0.0,,,,,,,,,2014,308.69999999999993,20NW_P1
20NW,2014-05-27,P1,2.0,21.0,1.0,STCO,g,0.0,,,,,,,,,2014,664.1999999999999,20NW_P1
20NW,2014-05-27,P1,3.0,7.0,2.0,BOGR,g,0.0,,,,,,,,,2014,466.0,20NW_P1
20NW,2014-05-27,P1,5.0,9.0,1.0,BOGR,g,0.0,,,,,,,,,2014,379.79999999999995,20NW_P1
20NW,2014-05-27,P1,7.0,21.0,9.0,STCO,g,0.0,,,,,,,,,2014,1733.0,20NW_P1
20NW,2014-05-27,P1,8.0,5.0,1.0,BOGR,g,0.0,,,,,,,,,2014,285.0,20NW_P1
20NW,2014-05-27,P1,9.0,9.0,3.0,BOGR,g,0.0,,,,,,,,,2014,646.9999999999999,20NW_P1
20NW,2014-05-27,P1,10.0,20.0,2.0,STCO,g,0.0,,,,,,,,,2014,774.1,20NW_P1
20NW,2014-05-27,P1,11.0,6.0,1.0,CAEL,g,0.0,,,,,,,,,2014,308.69999999999993,20NW_P1
20NW,2014-05-27,P1,12.0,11.0,1.0,STCO,g,0.0,,,,,,,,,2014,427.19999999999993,20NW_P1
20NW,2014-05-27,P1,13.0,27.0,4.0,STCO,g,0.0,,,,,,,,,2014,1207.2,20NW_P1
20NW,2014-05-27,P1,14.0,29.0,6.0,STCO,g,0.0,,,,,,,,,2014,1521.8,20NW_P1
20NW,2014-05-27,P1,15.0,14.0,6.0,PASM,g,0.0,,,,,,,,,2014,1166.3,20NW_P1
